"","num_hops"
"91",3
"94",3
"76",2
"126",9
"99",3
"1",1
"21",1
"93",3
"51",2
"49",2
"31",1
"98",3
"117",6
"14",1
"25",1
"89",3
"61",2
"128",11
"78",2
"65",2
"2",1
"81",3
"80",3
"124",8
"3",1
"33",1
"69",2
"39",1
"4",1
"71",2
"26",1
"120",7
"53",2
"102",4
"24",1
"82",3
"11",1
"8",1
"90",3
"108",4
"119",6
"92",3
"86",3
"36",1
"22",1
"85",3
"27",1
"32",1
"130",12
"28",1
"42",1
"34",1
"38",1
"110",5
"68",2
"88",3
"20",1
"121",7
"7",1
"56",2
"45",1
"15",1
"23",1
"63",2
"30",1
"43",1
"70",2
"101",4
"97",3
"48",1
"62",2
"44",1
"122",7
"16",1
"29",1
"19",1
"46",1
"96",3
"113",5
"9",1
"87",3
"47",1
"105",4
"17",1
"10",1
"109",5
"40",1
"59",2
"79",2
"100",4
"52",2
"114",5
"55",2
"127",10
"50",2
"72",2
"77",2
"129",11
"6",1
"13",1
"67",2
"123",7
"37",1
"116",6
"95",3
"66",2
"58",2
"84",3
"73",2
"64",2
"18",1
"5",1
"107",4
"106",4
"112",5
"74",2
"125",8
"111",5
"12",1
"118",6
"57",2
"75",2
"115",6
"60",2
"41",1
"35",1
"54",2
"103",4
"104",4
"83",3
